,text,pred_sentiment,pred_score
28,"hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( "" it's a perfect engine , an eating machine "" ) make it that much more terrifying .",Neutral,0.8908565044403076
29,"when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .",Neutral,0.9999433755874634
30,"the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it .",Neutral,0.9999980926513672
31,""" jaws "" is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror .",Positive,0.999977707862854
32,"it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by "" star wars "" ) .",Neutral,0.9950047135353088
33,"even today , fascination with this film is on par with hitchcock's "" psycho , "" and it never seems to age .",Neutral,0.9970496892929077
34,"although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill .",Negative,0.7487844228744507
35,"the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects .",Positive,0.7621936202049255
36,"scheider , dreyfuss , and shaw were known actors at the time "" jaws "" was made , but none of them had the draw of a robert redford or paul newman .",Neutral,0.9999946355819702
37,"nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark .",Positive,0.9978596568107605
38,scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town .,Neutral,0.9363736510276794
39,""" it's your first summer here , you know , "" mayor vaughn warns him .",Neutral,0.9996390342712402
40,"dreyfuss , who had previously been seen in "" american graffiti "" ( 1973 ) and "" the apprenticeship of duddy kravitz "" ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers .",Positive,0.8945886492729187
41,"however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards .",Positive,0.9999028444290161
42,"bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism .",Neutral,0.9999326467514038
43,"he's slightly deranged , and shaw's performance is almost a caricature .",Neutral,0.9986510872840881
44,"however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars .",Neutral,0.9996433258056641
45,quint is drawn into telling the story of his experiences aboard the u . s . s .,Neutral,0.9999966621398926
46,"indianapolis , a navy ship in world war ii that was sunk by the japanese .",Neutral,0.9999853372573853
47,"his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen .",Neutral,0.9998676776885986
48,"shaw delivers the story in one long take , and it is the best acting in the film .",Positive,1.0
49,"of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature .",Negative,0.8835530281066895
50,"a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in "" jaws , "" and they are a threat .",Negative,0.9970705509185791
51,"every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into .",Neutral,0.9958831071853638
52,"the shark in "" jaws "" was actually a combination of actual footage and five different mechanical sharks ( all nicknamed "" bruce "" by the crew ) built to be shot from different angles .",Neutral,0.9999998807907104
53,"many have forgotten , but "" jaws "" was a sort of precursor to "" waterworld "" ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .",Negative,0.9999120235443115
54,"but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood .",Negative,0.9783934950828552
